brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Five Guys,"Ghg Gulf Coast, Llc (Bill Gellert)",6860 Highway 90 (out parcel),Daphne,AL,36526,(914) 643-2180
Five Guys,"Decatur Burgers, Inc. (Kumar Patel)","1241 Point Mallard Pkwy., Ste. 103",Decatur,AL,35601,256-355-1286
Five Guys,"Ghg Gulf Coast, Llc (Bill Gellert)",241 South Greeno Rd.,Fairhope,AL,36532,251-210-3880
Five Guys,"Huntsville Burgers, Inc. (Kumar Patel)",2881 Florence Blvd.,Florence,AL,35630,(256) 652-0001
Five Guys,"Ghg Gulf Coast, Llc (Bill Gellert)",3117 South McKenzie St.,Foley,AL,36535,(914) 643-2180
Five Guys,"Huntsville Burgers, Inc. (Kumar Patel)","1028 Marble Terrace St., Ste. 100",Hoover,AL,35244,205-747-0974
Five Guys,"Huntsville Burgers, Inc. (Kumar Patel)",1395 Enterprise Way,Huntsville,AL,35806,256-382-3526
Five Guys,"Huntsville Burgers, Inc. (Kumar Patel)",9016 Memorial Pkwy SW,Huntsville,AL,35802,256-980-0879
Five Guys,"Huntsville Burgers, Inc. (Kumar Patel)",1221-A North Memorial Pkwy.,Huntsville,AL,35811,(256) 652-0001
Five Guys,"Jones Valley Burgers, Inc. (Kumar Patel)",2724 Carl T. Jones Dr.,Huntsville,AL,35806,256-382-3150
Five Guys,"Town Madison Burgers, Inc. (Kumar Patel)","100 Moon Shot Drive, Suite 110",Madison,AL,35758,256-325-8402
Five Guys,"Huntsville Burgers, Inc. (Kumar Patel)","8334 Hwy 72 West, Ste. C",Madison,AL,35758,256-513-8056
Five Guys,"Life Capital, Llc (Brandon Butler)",4663 Airport Blvd.,Mobile,AL,36608,251-300-8425
Five Guys,"Life Capital, Llc (Brandon Butler)","5319 Highway 90, Ste. A",Mobile,AL,36582,(703) 597-4940
Five Guys,"Life Capital, Llc (Brandon Butler)","1225 Satchel Page Dr., Ste. E100",Mobile,AL,36606,251-378-8768
Five Guys,"Life Capital, Llc (Brandon Butler)","7721 Airport Boulevard, Suite E101",Mobile,AL,36608,251-251-5099
Five Guys,"Life Capital, Llc (Brandon Butler)","54 Shell St., Ste. 100",Saraland,AL,36571,251-263-6446
Five Guys,"Az Fgb Operations, Llc (Keith Bubb)","1800 S. Milton Ave., Ste. 300",Flagstaff,AZ,86001,
Five Guys,"Az Fgb Operations, Llc (Keith Bubb)",3455 Stockton Hill Rd.,Kingman,AZ,86409,928-692-4415
Five Guys,"Fgb Operations, Llc (Keith Bubb)","7077 N. Thornydale Rd., Ste. 105",Marana,AZ,85741,
Five Guys,"Az Fgb Operations, Llc (Keith Bubb)",401 S. Beeline Hwy.,Payson,AZ,85401,928-474-2716
Five Guys,"Az Fgb Operations, Llc (Keith Bubb)","254 Lee Blvd., Ste. 100",Prescott,AZ,86303,
Five Guys,"Az Fgb Operations, Llc (Keith Bubb)",3077 North Glassford Hill Rd.,Prescott Valley,AZ,86314,928-515-2287
Five Guys,"Fgb Operations, Llc (Keith Bubb)",20784 E. Victoria Ln.,Queen Creek,AZ,85142,480-534-5454
Five Guys,"Fgb Operations, Llc (Keith Bubb)",9484 E. 22nd St.,Tucson,AZ,85710,520-751-3832
Five Guys,"Fgb Operations, Llc (Keith Bubb)","5566 E. Broadway Blvd., Ste. 100",Tucson,AZ,85711,
Five Guys,"Fgb Operations, Llc (Keith Bubb)",2802 N. Campbell Ave.,Tucson,AZ,85719,520-323-0590
Five Guys,"Fgb Operations, Llc (Keith Bubb)",5331 S. Calle Santa Cruz,Tucson,AZ,85706,520-294-1354
Five Guys,"Az Fgb Operations, Llc (Keith Bubb)","1979 E. 16th St., Ste. 101",Yuma,AZ,85365,
Five Guys,"Ghg Ar, Llc (Bill Gellert)",1401 S. Walton Blvd.,Bentonville,AR,72712,479-279-8391
Five Guys,"Ghg Ar, Llc (Bill Gellert)","975 South Amity Rd., Ste. C",Conway,AR,72032,501-329-3332
Five Guys,"Ghg Ar, Llc (Bill Gellert)",1229 MLK Jr. Blvd.,Fayetteville,AR,72701,479-396-4262
Five Guys,"Ghg Ar, Llc (Bill Gellert)","7110 Rogers Ave., Ste. 106",Ft. Smith,AR,72903,
Five Guys,"Ghg Ar, Llc (Bill Gellert)",2100 Stadium Blvd.,Jonesboro,AR,72401,
Five Guys,"Ghg Ar, Llc (Bill Gellert)","13000 Chenal Pkwy., #100",Little Rock,AR,72223,501-225-1100
Five Guys,"Ghg Ar, Llc (Bill Gellert)",2923 Lakewood Village Dr.,North Little Rock,AR,72116,501-246-5295
Five Guys,"Ghg Ar, Llc (Bill Gellert)",2007 Promenade Blvd.,Rogers,AR,72758,
Five Guys,"Tripart Management, Inc. (Rakesh Kumar, Sunil Kumar, Jose Garzona)",2254 South Shore Ctr.,Alameda,CA,94501,510-769-1788
Five Guys,Golden Gate Grills Inc. (James Khan And Billal Khan),190 Alamo Plaza,Alamo,CA,94507,925-362-3375
Five Guys,"Tripart Management, Inc. (Rakesh Kumar, Sunil Kumar, Jose Garzona)",1000 El Camino Real,Belmont,CA,94002,650-610-0684
Five Guys,Golden Gate Grills Inc. (James Khan And Billal Khan),"6660 Loan Tree Way, Ste. 8A",Brentwood,CA,94513-5370,
Five Guys,"1450 Howard Avenue, Inc. (Rakesh Kumar, Jose Garzona)","Safeway Shopping Ctr., 203 Primrose Ave.",Burlingame,CA,94010,
Five Guys,"Jak Burgers, Llc (Karl Gittelman)",48650 Seminole Dr.,Cabazon,CA,92230,951-922-0088
Five Guys,Golden Gate Grills Inc. (James Khan And Billal Khan),5442 Ygnacio Valley Rd.,Concord,CA,94521,
Five Guys,Canadian Guys Burgers Limited (Joseph Dand And Mike Lipinski),2690 Tuscany St.,Corona,CA,92881,
Five Guys,Golden Gate Grills Inc. (James Khan And Billal Khan),3456 Camino Tassajara Rd.,Danville,CA,94506,925-272-7220
Five Guys,"Tripart Management, Inc. (Rakesh Kumar, Sunil Kumar, Jose Garzona)",4930 Dublin Blvd. #680,Dublin,CA,64568,
Five Guys,Golden Gate Grills Inc. (James Khan And Billal Khan),3839 Emery St. #700,Emeryville,CA,94608,
Five Guys,Canadian Guys Burgers Limited (Joseph Dand And Mike Lipinski),"15218 Summit Ave., Ste. A100",Fontana,CA,92336,
Five Guys,"M&J Holdings, Llc (Jerome Ma)",10540 Sierra Avenue,Fontana,CA,92337,951-751-6668
Five Guys,"Rakesh Kumar, Sunil Kumar, Jose Garzona",933 E. Hillsdale Blvd.,Foster City,CA,94404,650-235-9485
Five Guys,"Rakesh Kumar, Sunil Kumar, Jose Garzona",43810 Christy St.,Fremont,CA,94538,510-353-1331
Five Guys,"Tripart Management, Inc. (Rakesh Kumar, Sunil Kumar, Jose Garzona)",19621 Hesperian Blvd.,Hayward,CA,94545,510-780-0661
Five Guys,"Tripart Management, Inc. (Rakesh Kumar, Sunil Kumar, Jose Garzona)",28529 Hesperian Blvd.,Hayward,CA,94541,
Five Guys,"M&J Holdings, Llc (Jerome Ma)",12719 Main St.,Hesperia,CA,92344,760-995-7754
Five Guys,"Jak Burgers, Llc (Joann Gittelman, Karl Gittelman)",78-445 Hwy. 111,La Quinta,CA,92253,760-771-9300
Five Guys,Canadian Guys Burgers Limited (Joseph Dand And Mike Lipinski),"27774 Newport Rd., Ste. 103",Menifee,CA,92584,951-679-7111
Five Guys,"Fg Hospitality, Llc (Jerome Ma)","6285 Pats Ranch Rd., Ste. A",Mira Loma,CA,91752,
Five Guys,"Lj International, Inc. (Jerome Ma And Lijun Li)","12515 Frederick St., A-3",Moreno Valley,CA,92553,
