brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
IHOP,Ta Operating Llc,3900 Petro Rd,West Memphis,AR,72301,(870) 702-5540
IHOP,"Shiralian Enterprises, Inc.",29541 Stockdale Hwy,Bakersfield,CA,93312-9644,(661) 764-6907
IHOP,"Hibba Pancakes, Inc.",12310 South Highway 33,Santa Nella,CA,95322,209-826-0741
IHOP,Ta Operating Llc,5821 Dennis McCarthy Drive,Lebec,CA,93243,661-663-4341
IHOP,5666 Llc,981 Cassville-White Road,Cartersville,GA,30121,770-607-8885
IHOP,5643 Llc,122 Truckstop Way,Jackson,GA,30233-6109,(770) 775-8188
IHOP,"Global Concessions, Inc.","7700 Spine Road, Concourse T",Atlanta,GA,30320-4201,(404) 762-0019
IHOP,"Madison Cakes, Llc",1881 Eatonton Rd,Madison,GA,30650,706 438 1049
IHOP,"Mph Holdings, Llc",211 Highway 18 East,Algona,IA,50511,5153951234
IHOP,Ta Operating Llc,1805 West Fayette Ave,Effingham,IL,62401,217-347-0480
IHOP,Oakley Restaurant Llc,1001 Highway 40,Oakley,KS,67748-6061,(785) 672-3565
IHOP,Lvp Food Service Concept Llc,32501 West 200th Street,Edgerton,KS,66021,913-882-3501
IHOP,"Bfs Foods, Inc.",434 E MAIN STREET,Hancock,MD,21750,240-343-8164
IHOP,"Bfs Foods, Inc.",2815 Chestnut Ridge Rd.,Grantsville,MD,21536-2033,(301) 895-8135
IHOP,"Great American Real Food Fast, Inc.",267 North Street,Houlton,ME,04730,(207) 521-0290
IHOP,"Great American Real Food Fast, Inc.",18 Moosehead Trail,Newport,ME,04953,(207) 368-5386
IHOP,"5601A, Llc",21055 West Road,Woodhaven,MI,48183-3245,(734) 675-4982
IHOP,Tsfr Apple Venture Llc,333 E. Jefferson Ave,Detroit,MI,48226-4352,(313) 879-5141
IHOP,"Chenega Ih, Llc",7800 W. Grand River Hwy,Grand Ledge,MI,48837-8212,517-412-7374
IHOP,Ta Operating Llc,5922 MO-19,Cuba,MO,65453,573-885-3992
IHOP,Ta Operating Llc,100 N Broadway Street,Oak Grove,MO,64075,8166251105
IHOP,5656 Llc,500 Buckhorn Road,Mebane,NC,27302,(919) 341-0331
IHOP,Fremont 5688 Inc,2700 E Fremont Street,Las Vegas,NV,89104,(702) 577-2200
IHOP,Ta Operating Llc,8834 Lake Road,Seville,OH,44273,330-769-2053
IHOP,Ta Operating Llc,12906 Deshler Rd.,North Baltimore,OH,45872,419-257-3744
IHOP,Ta Operating Llc,12403 US RT35 NW,Jeffersonville,OH,43128,740-948-2365
IHOP,"2039 Okc, Llc",801 South Council Rd,Oklahoma City,OK,73128,4058767363
IHOP,"Wwc Spirits, Llc",777 Casino Avenue,Thackerville,OK,73459-9774,(580) 276-1781
IHOP,"Rwc - Spirits, Llc",1544 State Highway 9,Norman,OK,73072,(405) 322-6226
IHOP,"Wwc Spirits, Llc",12252 Ruppe Rd.,Davis,OK,73030-9253,(580) 369-4042
IHOP,Rocky Restaurants Llc,33 Stop Plaza Drive,Mifflintown,PA,17059,7174368941
IHOP,Rocky Restaurants Llc,2550 State Route 534,White Haven,PA,18661-4016,(570) 443-7443
IHOP,Ta Operating Llc,4050 Depot Road,Erie,PA,16510,814-899-1919
IHOP,Rocky Restaurants Llc,133 Twin Rocks Rd.,Lake Ariel,PA,18436-4859,(570) 689-9112
IHOP,"Crockett Enterprises, Inc.",195 Van Hill Road,Greeneville,TN,37745-7601,(423) 234-4467
IHOP,"5710, Inc.",160 US Highway 77,Hillsboro,TX,76645,(254) 283-6556
IHOP,Elite Property Holdings Llc,20204 Interstate 35,Lytle,TX,78052,830-209-5548
IHOP,Clyde Travel Center Llc,8075 South Access Road West,Clyde,TX,79510,3258931916
IHOP,"Rmls Hop Texas, L.L.C.",704 West Interstate 20,Big Spring,TX,79720,432-242-4600
IHOP,"Ssp America D&B Dfw, Llc",2610 N International Parkway,Dallas,TX,75261-0124,(972) 973-6433
IHOP,Radata Inc.,1010 Beltway Parkway,Laredo,TX,78045,(325) 465-0450
IHOP,"Kim'S Food Service, Llc",2241 Highway 271 N,Pittsburg,TX,75686,903-855-8010
IHOP,Lvp Food Service Concept Llc,10100 US HWY 59 S,Shepherd,TX,77371,936-200-9816
IHOP,"Ahdaf, Llc",3004 I-30,Greenville,TX,75402,430-562-8899
IHOP,"Bona Tc 5696, Inc.",17500 Camino Real,Kyle,TX,78640,(737) 977-8460
IHOP,"Bona Tc 5699, Inc.",6800 Thompson Road,Baytown,TX,77521,346-292-5540
IHOP,"Kttt Pan House, Llc",794 Lucky Eagle Dr,Eagle Pass,TX,78852-2430,(830) 752-4866
IHOP,5634 Llc,2516 N. Lee Highway,Lexington,VA,24450-3335,(540) 463-3478
IHOP,Ta Operating Llc,1025 Peppers Ferry Road,Wytheville,VA,24382,276-228-8676
IHOP,Par Mar Oil Co,1000 Hackers Creek Rd,Jane Lew,WV,26378,304-884-7095
IHOP,Par Mar Oil Co,470 Frontage Road,Mineral Wells,WV,26150,304-489-8087
IHOP,Amnsi Llc,1201 W. North Street,Kendallville,IN,46755-2841,260-302-1121
IHOP,"Goldrush Pancakes No. 4, Inc.","1106 North Muldoon Road, Suite 155",Anchorage,AK,99504-6108,(907) 332-4467
IHOP,"Goldrush Pancakes, Inc.",501 E Tudor Rd,Anchorage,AK,99503-7320,(907) 279-4467
IHOP,"Goldrush Pancakes No. 3, Inc.",1890 East Parks Highway,Wasilla,AK,99654-7353,(907) 864-4467
IHOP,"Goldrush Pancakes No. 2, Inc.",11100 Old Seward Highway,Anchorage,AK,99515-3036,(907) 341-4125
