brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
McDonald's,Michael Davidson,800 W NORTHERN LIGHTS,Anchorage,AK,99503-3713,907-561-5525
McDonald's,Michael Davidson,5716 DEBARR RD,Anchorage,AK,99504-2306,907-333-0413
McDonald's,Michael Davidson,2601 TUDOR RD,Anchorage,AK,99503-1133,907-562-2108
McDonald's,Michael Davidson,1320 HUFFMAN BLVD,Anchorage,AK,99515-3566,907-345-5932
McDonald's,Michael Davidson,701 E 36TH AVE,Anchorage,AK,99503-4141,907-563-0658
McDonald's,Michael Davidson,3828 DIMOND BLVD,Anchorage,AK,99502,907-248-0597
McDonald's,Michael Davidson,3006 MOUNTAIN VIEW DR,Anchorage,AK,99501-3105,907-274-5686
McDonald's,Michael Davidson,4350 SPENARD RD,Anchorage,AK,99517,907-243-5122
McDonald's,Michael Davidson,255 MULDOON RD,Anchorage,AK,99504,907-337-0810
McDonald's,Michael Davidson,3035 MULDOON RD,Anchorage,AK,99504,907-338-7377
McDonald's,Michael Davidson,9100 LAKE OTIS PKWY,Anchorage,AK,99515,907-349-0285
McDonald's,Michael Davidson,8915 OLD SEWARD HWY,Anchorage,AK,99515,907-344-4231
McDonald's,Michael Davidson,ANCHORAGE AIRPORT - ANC,Anchorage,AK,99502,907-243-0085
McDonald's,Michael Davidson,1166 NORTH MULDOON ROAD,Anchorage,AK,99504,907-333-0006
McDonald's,Michael Davidson,11808 OLD GLENN HWY,Eagle River,AK,99577-7797,907-694-4500
McDonald's,Frank Bessasparis,1930 AIRPORT WAY,Fairbanks,AK,99701-4092,907-452-4600
McDonald's,Frank Bessasparis,3905 GEIST RD,Fairbanks,AK,99709-3551,907-474-2010
McDonald's,Frank Bessasparis,449 HAROLD BENTLEY AVE,Fairbanks,AK,99701,907-451-0770
McDonald's,John Mcdonald,3656 BEN WALTERS LN,Homer,AK,99603-7702,907-235-5400
McDonald's,Michael A White,2285 TROUT ST,Juneau,AK,99801-8036,907-789-4653
McDonald's,John Mcdonald,10447 SPUR HWY,Kenai,AK,99611-7812,907-283-4008
McDonald's,Michael A White,2417 TONGASS AVE,Ketchikan,AK,99901,907-225-1704
McDonald's,Michael Davidson,209 THORSHEIM AVE,Kodiak,AK,99615-6036,907-486-3030
McDonald's,Frank Bessasparis,352 N SANTA CLAUS LN,North Pole,AK,99705-6053,907-488-7779
McDonald's,Michael Davidson,600 DARON DR,Palmer,AK,99645-6522,907-746-0335
McDonald's,John Mcdonald,44420 STERLING HWY,Soldotna,AK,99669,907-262-1074
McDonald's,Michael Davidson,801 E PARKS HWY,Wasilla,AK,99654-8105,907-376-4642
McDonald's,Gerard F Murphy,2716 US HIGHWAY 431 SOUTH,Abbeville,AL,36310,334-585-0715
McDonald's,Timothy Wilson,1493 1ST AVE N,Alabaster,AL,35007,205-664-3761
McDonald's,Michael J Valluzzo,205 S COLONIAL DR,Alabaster,AL,35007-4691,205-621-2807
McDonald's,Michael J Valluzzo,7375 HWY 431,Albertville,AL,35950,256-878-6755
McDonald's,David Neisler,4094 HWY 280,Alexander City,AL,35010,256-329-1283
McDonald's,Ashley Minor,87134 US 278,Altoona,AL,35952,205-466-5211
McDonald's,Gerard F Murphy,315 US HWY 84 BY-PASS WEST,Andalusia,AL,36421,334-222-7875
McDonald's,Jamie Black,1901 QUINTARD AVE,Anniston,AL,36201,256-236-5224
McDonald's,Jason A Black,5550 MCCLELLAN BLVD,Anniston,AL,36206,256-820-0038
McDonald's,Jason A Black,3424 GREEN BRIER DEAR DR,Anniston,AL,36207,256-832-4543
McDonald's,Ashley Minor,700 N BRINDLEE MOUNTAIN PKWY,Arab,AL,35016-1067,256-586-8792
McDonald's,Gina Marie Wolfe,26862 MAIN ST,Ardmore,AL,35739,256-423-3663
McDonald's,Merry Neisler,83690 HWY 9,Ashland,AL,36251,256-354-2339
McDonald's,Steven A Johnson,103 HWY 31 N,Athens,AL,35611,256-233-1275
McDonald's,Steven A Johnson,1529 HWY 72 E,Athens,AL,35611,256-232-1927
McDonald's,Cynthia D Samour,1414 S MAIN ST,Atmore,AL,36502,251-368-2267
McDonald's,Cynthia D Samour,5995 HWY 21,Atmore,AL,36502,251-368-9753
McDonald's,William R Hamilton,610 CLEVELAND AVE,Attalla,AL,35954,256-538-1107
McDonald's,Malcolm Marshall,224 W MAGNOLIA ST,Auburn,AL,36830,334-821-7185
McDonald's,Marcus Marshall,1634 OPELIKA HWY,Auburn,AL,36830,334-821-5303
McDonald's,Marcus Marshall,2372 COLLEGE STREET,Auburn,AL,36830,334-502-8900
McDonald's,Cynthia D Samour,98 MC MEANS AVE,Bay Minette,AL,36507,251-937-2611
McDonald's,Jason A Black,1195 GREENMOR DR,Bessemer,AL,35022-6445,205-425-6200
McDonald's,Jason A Black,765 ACADEMY DR,Bessemer,AL,35022-5276,205-425-4727
McDonald's,Larry D Thornton,911 9TH AVE N,Bessemer,AL,35020,205-428-9768
McDonald's,Jamie Black,1309 FORESTDALE BLVD,Birmingham,AL,35214,205-798-2896
McDonald's,Jamie Black,4625 HWY 280 S,Birmingham,AL,35242,205-991-3086
McDonald's,Jason A Black,2640 VALLEY DALE RD,Birmingham,AL,35244,205-408-7448
McDonald's,Ashley Minor,1960 EDWARDS LAKE RD,Birmingham,AL,35235,205-661-9282
McDonald's,Larry D Thornton,801 DENNISON AVE,Birmingham,AL,35211,205-323-5387
McDonald's,Michael J Valluzzo,2733 8TH AVE,Birmingham,AL,35233,205-324-5892
McDonald's,Michael J Valluzzo,732 LOMB AVE,Birmingham,AL,35211,205-787-6245
McDonald's,Michael J Valluzzo,1907 CENTER POINT RD,Birmingham,AL,35215,205-854-4362
McDonald's,Nicholas J Valluzzo,1569 MONTCLAIR RD,Birmingham,AL,35210,205-956-9666
McDonald's,Nicholas J Valluzzo,218 GADSDEN HWY,Birmingham,AL,35235,205-833-5149
McDonald's,Nicholas J Valluzzo,2201 BESSEMER HWY,Birmingham,AL,35208,205-780-5841
McDonald's,Nicholas J Valluzzo,1501 5TH AVENUE S,Birmingham,AL,35203,205-933-1650
McDonald's,Nicholas J Valluzzo,861 HWY 431 S,Boaz,AL,35957,256-593-1015
McDonald's,Jason A Black,10671 HWY 5,Brent,AL,35034,205-926-6186
McDonald's,Marc A O'Ferrall,464 SOUTH BLVD,Brewton,AL,36426,251-867-4540
McDonald's,Steve A Murray,221 EAST PUSHMATAHA STREET,Butler,AL,36904,205-459-3399
McDonald's,Nicholas J Valluzzo,706 SUPERCENTER DR,Calera,AL,35040,205-668-7588
McDonald's,John M Mcfarland,20890 HIGHWAY 43,Calvert,AL,36560,251-829-4185
McDonald's,Ashley Minor,650 CEDAR BLUFF RD,Centre,AL,35960,256-927-4200
McDonald's,Jamie Black,16758 US HWY 280,Chelsea,AL,35043,205-678-0505
McDonald's,David Neisler,33785 US HWY 280,Childersburg,AL,35044-3017,256-378-5977
McDonald's,Gregg Descher,19355 3RD STREET,Citronelle,AL,36522,251-866-0620
McDonald's,Austin A Rogers,2250 7TH ST S,Clanton,AL,35045,205-755-8411
McDonald's,Augustine Estrada,301 W COLLEGE ST,Columbiana,AL,35051-9401,205-669-7710
McDonald's,Richard P Hanna,6501 INTERSTATE LN,Cottondale,AL,35453,205-507-0700
McDonald's,Steven A Johnson,1425 2ND AVE SW,Cullman,AL,35055,256-734-4073
McDonald's,Steven A Johnson,6065 AL HWY 157,Cullman,AL,35057,256-734-4258
McDonald's,Steven A Johnson,497 COUNTY ROAD 222,Cullman,AL,35055,256-385-8810
McDonald's,David Neisler,17956 HWY 280,Dadeville,AL,36853,256-825-8744
McDonald's,Gerard F Murphy,575 N DALEVILLE AVE,Daleville,AL,36322,334-598-6072
McDonald's,Cynthia D Samour,29138 US HIGHWAY 98,Daphne,AL,36526,251-621-3596
McDonald's,Cynthia D Samour,29919 WOODROW LANE,Daphne,AL,36526,251-626-9909
McDonald's,Timothy Wilson,1208 6TH AVE SE,Decatur,AL,35601,256-353-8911
McDonald's,Timothy Wilson,2225 DANVILLE RD SW,Decatur,AL,35601,256-350-7083
McDonald's,Timothy Wilson,3010 ALABAMA HWY 20 NW,Decatur,AL,35601,256-355-7651
McDonald's,Timothy Wilson,2820 SPRING AVE SW,Decatur,AL,35603,334-564-6194
McDonald's,Steven A Johnson,3342 POINT MALLARD PKY,Decatur,AL,35601,256-584-6886
McDonald's,Steve A Murray,1111 WALNUT ST,Demopolis,AL,36732,334-289-3069
McDonald's,Steven A Johnson,231 AL HWY 69 S,Dodge City,AL,35077,256-287-9543
McDonald's,Barry Degonzague,2445 HWY 78,Dora,AL,35062,205-648-3673
McDonald's,Gerard F Murphy,3520 ROSS CLARK CIR,Dothan,AL,36303,334-792-0313
McDonald's,Gerard F Murphy,2101 ROSS CLARK CIR,Dothan,AL,36301,334-794-0221
McDonald's,Gerard F Murphy,619 W MAIN ST,Dothan,AL,36303,334-793-1625
McDonald's,Gerard F Murphy,1081 ROSS CLARK CIR,Dothan,AL,36301,334-677-0779
McDonald's,Gerard F Murphy,2251 REEVES ST,Dothan,AL,36303,334-702-8338
McDonald's,Gerard F Murphy,4740 W MAIN ST,Dothan,AL,36303,334-671-2369
McDonald's,Gerard F Murphy,5001 MONTGOMERY HIGHWAY,Dothan,AL,36303,334-983-1268
McDonald's,Gerard F Murphy,652 BOLL WEEVIL NO,Enterprise,AL,36330,334-347-3417
McDonald's,Gerard F Murphy,1250 S EUFAULA ST,Eufaula,AL,36027,334-687-6686
McDonald's,Marc A O'Ferrall,130 INDUSTRIAL PARK RD,Evergreen,AL,36401-9539,251-578-3797
McDonald's,Cynthia D Samour,111 GREENO RD N,Fairhope,AL,36532,251-990-8833
